symbol,rank,final_score,profitability_score,growth_score,scale_score,stability_score,financial_health_score,cash_quality_score,asset_efficiency_score,avg_revenue,avg_net_profit,avg_gross_margin,avg_net_margin,avg_revenue_growth,avg_profit_growth,avg_roa,avg_roe,avg_current_ratio,avg_de_ratio,avg_ocf_quality,avg_fcf,avg_asset_turnover
VNM,18,40.7,56.99,17.33,27.68,99.89,12.43,44.79,49.95,15361900101670.64,2257814256191.27,41.1,14.64,0.01,0.02,0.04,0.06,2.15,0.49,1.0,2257814256191.27,0.29
CEN,19,40.09,55.74,17.34,3.32,99.99,43.88,33.3,45.52,22187657689.27,31727921.27,5.9,0.19,-0.09,0.59,0.0,0.0,61.98,0.02,1.0,31727921.27,0.1
FPT,20,40.08,56.87,17.34,25.73,99.97,11.92,43.11,48.68,15048786388150.36,1926717786842.73,38.09,12.77,0.17,0.21,0.03,0.07,1.32,1.0,1.0,1926717786842.73,0.22
OIL,21,39.87,55.86,17.34,29.28,99.94,11.72,33.91,58.02,30238419826180.72,119989288753.82,3.46,0.45,0.13,0.42,0.0,0.01,1.25,2.18,1.0,119989288753.82,0.82
HVN,22,39.75,55.12,17.42,29.25,99.21,12.42,37.27,51.74,26192639981546.91,779765751426.45,10.97,2.31,0.23,4.66,0.01,-0.16,0.31,-6.26,1.0,779765751426.45,0.44
ACV,23,39.75,56.91,17.34,19.8,99.84,15.18,45.07,46.24,5641952632081.73,2311954449028.36,61.44,40.75,0.28,0.34,0.04,0.05,7.33,0.3,1.0,2311954449028.36,0.08
TJC,24,39.32,56.3,17.33,3.33,98.58,38.9,33.32,45.1,6522558419.55,4100738325.73,19.09,76.82,-0.49,0.25,0.02,0.02,52.5,0.04,1.0,4100738325.73,0.04
VEA,25,39.23,57.17,17.33,12.83,99.72,20.47,41.98,46.09,1013163933451.0,1706091917983.73,13.89,167.91,-0.02,0.02,0.06,0.06,17.35,0.05,1.0,1706091917983.73,0.03
MCH,26,39.04,57.33,17.33,18.49,99.73,12.12,42.31,48.84,7366454081441.18,1770565962000.82,46.0,23.92,0.05,0.11,0.05,0.09,1.64,0.8,1.0,1770565962000.82,0.21
ART,27,38.86,57.62,17.31,3.27,92.0,39.07,33.27,42.29,422668445.09,-6621722560.18,1146.54,-8692.0,-0.47,-0.84,-0.05,-0.05,52.81,0.03,1.0,-6621722560.18,0.0
LM7,28,38.84,65.41,17.32,3.28,99.6,20.53,33.28,43.35,4625210631.5,-4626270730.5,-19.78,-399.7,-0.4,-0.63,-0.04,1.87,0.76,-61.85,1.0,-4626270730.5,0.04
MSN,29,38.47,56.1,17.38,22.47,99.91,11.47,35.64,46.43,20054596545454.55,459281909090.91,29.6,2.26,0.02,2.78,0.01,0.02,0.87,2.54,1.0,459281909090.91,0.14
TMB,30,38.25,56.41,17.38,11.44,99.72,11.17,33.59,78.95,9362237629294.18,55981898373.0,3.9,0.57,0.23,2.43,0.01,0.08,1.16,5.77,1.0,55981898373.0,2.02
SAB,31,38.18,56.69,17.33,15.03,99.89,13.25,38.76,48.7,7467912482353.55,1073533573450.0,31.1,14.59,-0.07,-0.06,0.03,0.04,3.66,0.3,1.0,1073533573450.0,0.23
SVT,32,38.15,56.62,17.33,3.34,99.6,29.84,33.33,45.13,7338932955.82,6118533075.91,40.53,537.99,0.12,0.12,0.03,0.03,35.22,0.01,1.0,6118533075.91,0.03
VGI,33,38.09,56.57,17.38,16.15,99.49,12.41,38.87,47.0,8676472279798.45,1093447556081.27,51.7,10.97,0.23,2.56,0.02,0.04,2.17,0.74,1.0,1093447556081.27,0.15
PCE,34,37.99,56.25,17.34,4.07,99.84,12.91,33.33,91.81,875464048757.82,6472926248.0,2.47,0.72,0.01,0.28,0.02,0.03,3.1,0.61,1.0,6472926248.0,2.75
PNJ,35,37.93,56.69,17.33,13.36,99.7,13.05,35.94,55.31,8852174271121.54,517711834197.91,18.76,5.72,0.02,0.17,0.04,0.05,3.31,0.41,1.0,517711834197.91,0.61
SKG,36,37.9,56.2,17.34,3.46,99.61,28.36,33.37,46.22,103470770711.73,14593481110.64,24.83,10.99,0.01,0.25,0.02,0.02,32.38,0.02,1.0,14593481110.64,0.11
VJC,37,37.87,55.9,17.36,19.17,99.95,11.36,34.88,47.17,17031731500665.82,310152560630.64,9.12,1.8,0.35,1.63,0.0,0.02,1.11,4.19,1.0,310152560630.64,0.19
PPY,38,37.86,55.92,17.34,4.22,99.9,11.73,33.31,93.98,1086882710657.36,2334588951.82,3.83,0.22,-0.0,0.71,0.01,0.01,1.07,1.42,1.0,2334588951.82,2.9
TCD,39,37.67,55.92,28.84,3.73,99.96,11.95,33.42,44.6,368480082053.62,23355293418.75,20.2,7.56,-0.36,600.01,0.0,0.01,1.49,1.42,1.0,23355293418.75,0.04
GVR,40,37.61,56.2,17.34,13.72,99.86,12.85,38.44,45.59,6295083777219.55,1009333474669.09,25.27,15.63,0.08,0.44,0.01,0.02,2.93,0.39,1.0,1009333474669.09,0.08
POV,41,37.59,55.95,17.41,4.28,99.9,11.63,33.32,88.27,1149387905414.36,3274574849.91,2.99,0.31,0.15,3.97,0.01,0.02,0.88,1.5,1.0,3274574849.91,2.57
PSW,42,37.59,55.91,17.37,3.97,99.78,13.0,33.31,85.59,782492278916.91,2715486271.27,2.03,0.35,0.02,1.82,0.01,0.01,3.28,0.67,1.0,2715486271.27,2.41
VST,43,37.52,58.65,25.54,3.9,92.95,11.71,33.8,54.68,118936714272.73,97477081108.45,7.46,79.31,-0.1,427.82,0.21,-0.15,0.21,-1.63,1.0,97477081108.45,0.27
VNB,44,37.46,56.36,17.34,3.4,99.97,25.57,33.4,44.43,7876588313.27,18925158360.27,43.16,244.31,-0.04,0.35,0.02,0.02,27.07,0.03,1.0,18925158360.27,0.01
CLM,45,37.38,56.26,17.34,7.27,99.85,11.64,33.48,73.6,4517612001477.64,35155461420.36,2.33,0.8,0.52,0.19,0.01,0.05,1.37,3.18,1.0,35155461420.36,1.71
COM,46,37.33,56.05,17.38,4.18,99.75,13.01,33.33,79.13,1013278382026.73,6666945146.36,4.78,0.64,-0.09,2.73,0.01,0.02,3.17,0.18,1.0,6666945146.36,2.03
CMV,47,37.31,55.93,17.36,4.24,99.94,12.03,33.32,81.74,1101806804199.55,3970017188.27,4.09,0.36,-0.0,1.59,0.01,0.01,1.53,1.04,1.0,3970017188.27,2.19
PSE,48,37.3,56.06,17.34,4.03,99.8,12.16,33.32,81.51,845850562991.36,3940986124.09,2.52,0.43,-0.01,0.53,0.01,0.03,1.87,1.36,1.0,3940986124.09,2.17
BVH,49,37.29,55.88,17.34,15.03,99.99,11.79,36.05,44.64,10700156588710.18,540040216617.82,-1.9,5.05,0.01,0.24,0.0,0.02,3.28,9.23,1.0,540040216617.82,0.04
VRE,50,37.24,56.51,17.34,10.91,99.93,12.38,38.99,45.22,2295955181818.18,1117406181818.18,54.23,49.24,0.1,0.33,0.02,0.03,2.0,0.29,1.0,1117406181818.18,0.05
SBH,51,37.21,57.04,17.33,3.94,99.1,21.74,33.78,46.81,191553121917.73,94177565116.36,45.25,37.2,-0.09,0.19,0.05,0.05,19.81,0.13,1.0,94177565116.36,0.1
